q01,q02,q03,q04,q05,q06_1,q06_02,q06_03,q06_04,q06_05,q06_06,q06_other,q07_a,q07_b,q07_c,q07a,q08,q08_a,q09,q09_01,q09_02,q09_03,AgeR
2,1,1,4,1,1, ,1,1,1, , ,4,1,5, ,2, ,1,2,11,5,1
1,6,1,3,3,1,2,1,1,1,2, ,5,1,3, ,2, ,2, , , ,3
2,4,1,1,4, , , , ,1, , ,5,4, , ,2, ,1,1,2, ,2
2,1,1,4,1,1,2,1,1,1,2, ,4,3,5, ,2, ,1,1,2,3,1
2,7,1,3,3,1,2,1,1,1,2, ,4, , , ,2, ,2, , , ,3
2,2,1,4,4,2,2,1,1,1,2, ,5,4,3, ,2, ,1,8,11,2,1
2,7,1,4,3,1,2,1,1,1,2, ,5,4,3, ,2, ,1,2,3,2,3
2,4,1,3,2,2,2,1,1,1,2,Snap chat,5,4,3, ,2, ,1,2, , ,2
2,3,1,4,2,2,2,1,1,1,2, ,5,3,4, ,2, ,1,2,11,1,2
2,5,1,4,2,2,2,1,1,1,2,snapchat,5,4,3, ,2, ,1,2,1,5,2
2,1,2,2,1,2,2,1,2,1,2, ,5,3, , ,2, ,2, , , ,1
2,5,1,5,2,1, ,1,1,1,1, ,5,1,4, ,2, ,1,2,5,10,2
2,3,1,4,2,1,1,1,1,1,2, ,5,4,1, ,2, ,1,1,2,5,2
2,4,2,3,4,2,1,1,1,1,2, ,4,2,5, ,1,2,2, , , ,2
2,5,1,4,2,1,1,1,1,1,2, ,5,4,2, ,1,1,1,1,5,10,2
2,3,2,4,2,1,2,1,1,1,2, ,4,5,3, ,2, ,2,1, , ,2
2,6,1,5,2,1,1,1,1,1,1, ,4,5,2, ,2, ,1,10,3,7,3
2,6,1,3,2,2,2,1,1,1, , ,5,4,3, ,1,4,1,1,2,10,3
2,6,1,4,2,1,2,1,1,1,1, ,5,4,1, ,2, ,1,1,7,10,3
2,4,1,2,2,2,1,1,1,1,2, , , , , ,2, ,1,1,7,8,2
2,6,1,3,4,1, ,1,1,1, , ,4,1,5, ,2, ,2, , , ,3
2,7,1,1,4, , , ,2,2, , ,3,3,3, ,2, ,1,3,2,3,3
